,encoder_name,encoder_classes_count
0,stock_code_x,1
1,ric_code_x,1
2,uuid_x,2477
3,last_modified_date_x,1
4,current_hour_pillar,20
5,current_day_pillar,60
6,current_day_pillar_minus,60
7,current_hour_pillar_minus,30
8,current_month_pillar,38
9,current_year_pillar,6
10,current_year_pillar_minus,6
11,current_month_pillar_minus,30
12,current_wuxi_hour,35
13,current_wuxi_day,120
14,current_wuxi_month,107
15,current_wuxi_year,12
16,base_year_pillar,1
17,base_month_pillar,1
18,base_day_pillar,1
19,base_hour_pillar,1
20,base_month_pillar_minus,1
21,base_hour_pillar_minus,1
22,base_year_pillar_minus,1
23,base_day_pillar_minus,1
24,current_hour_pillar_heavenly,10
25,current_hour_pillar_earthly,4
26,current_day_pillar_heavenly,10
27,current_day_pillar_earthly,12
28,current_day_pillar_minus_heavenly,10
29,current_day_pillar_minus_earthly,12
30,current_hour_pillar_minus_heavenly,10
31,current_hour_pillar_minus_earthly,6
32,current_month_pillar_heavenly,10
33,current_month_pillar_earthly,12
34,current_year_pillar_heavenly,6
35,current_year_pillar_earthly,6
36,current_year_pillar_minus_heavenly,6
37,current_year_pillar_minus_earthly,6
38,current_month_pillar_minus_heavenly,10
39,current_month_pillar_minus_earthly,12
40,base_year_pillar_heavenly,1
41,base_year_pillar_earthly,1
42,base_month_pillar_heavenly,1
43,base_month_pillar_earthly,1
44,base_day_pillar_heavenly,1
45,base_day_pillar_earthly,1
46,base_hour_pillar_heavenly,1
47,base_hour_pillar_earthly,1
48,base_month_pillar_minus_heavenly,1
49,base_month_pillar_minus_earthly,1
50,base_hour_pillar_minus_heavenly,1
51,base_hour_pillar_minus_earthly,1
52,base_year_pillar_minus_heavenly,1
53,base_year_pillar_minus_earthly,1
54,base_day_pillar_minus_heavenly,1
55,base_day_pillar_minus_earthly,1
56,cs_base_hour_current_hour,4
57,cs_base_hour_current_day,12
58,cs_base_hour_current_hour_minus,6
59,cs_base_hour_current_month,12
60,cs_base_hour_current_year,6
61,cs_base_hour_current_month_minus,12
62,cs_base_day_current_hour,4
63,cs_base_day_current_day,12
64,cs_base_day_current_hour_minus,6
65,cs_base_day_current_month,12
66,cs_base_day_current_year,6
67,cs_base_day_current_month_minus,12
68,cs_base_hour_minus_current_hour,4
69,cs_base_hour_minus_current_day,12
70,cs_base_hour_minus_current_hour_minus,6
71,cs_base_hour_minus_current_month,12
72,cs_base_hour_minus_current_year,6
73,cs_base_hour_minus_current_month_minus,12
74,cs_base_month_current_hour,4
75,cs_base_month_current_day,12
76,cs_base_month_current_hour_minus,6
77,cs_base_month_current_month,12
78,cs_base_month_current_year,6
79,cs_base_month_current_month_minus,12
80,cs_base_year_current_hour,4
81,cs_base_year_current_day,12
82,cs_base_year_current_hour_minus,6
83,cs_base_year_current_month,12
84,cs_base_year_current_year,6
85,cs_base_year_current_month_minus,12
86,cs_base_month_minus_current_hour,4
87,cs_base_month_minus_current_day,12
88,cs_base_month_minus_current_hour_minus,6
89,cs_base_month_minus_current_month,12
90,cs_base_month_minus_current_year,6
91,cs_base_month_minus_current_month_minus,12
92,stock_code_y,1
93,ric_code_y,1
94,uuid_y,2477
95,last_modified_date_y,1
96,uuid,520
97,last_modified_date,1
