,feature,importance
0,time,0.855904
16,current_wuxi_year,0.0362631
144,cs_base_day_current_year,0.025419
36,dayofyear,0.0251552
37,weekofyear,0.0131925
69,current_year_pillar_earthly,0.00545759
25,month,0.00440094
162,cs_base_year_current_year,0.00281548
138,cs_base_hour_current_year,0.00240336
71,current_year_pillar_heavenly_cos,0.00189384
77,current_year_pillar_minus_heavenly_cos,0.00173832
156,cs_base_month_current_year,0.00133509
26,day,0.00115548
155,cs_base_month_current_month,0.00112626
10,current_year_pillar,0.000947204
83,current_month_pillar_minus_heavenly_cos,0.000919196
68,current_year_pillar_heavenly,0.000824593
65,current_month_pillar_heavenly_cos,0.000800975
75,current_year_pillar_minus_earthly,0.000781618
167,cs_base_month_minus_current_month,0.00076927
12,current_month_pillar_minus,0.000663932
143,cs_base_day_current_month,0.000659801
139,cs_base_hour_current_month_minus,0.000638549
66,current_month_pillar_earthly_sin,0.000636938
85,current_month_pillar_minus_earthly_cos,0.000623024
163,cs_base_year_current_month_minus,0.000555381
11,current_year_pillar_minus,0.000536574
74,current_year_pillar_minus_heavenly,0.000490891
78,current_year_pillar_minus_earthly_sin,0.000488085
70,current_year_pillar_heavenly_sin,0.000482235
76,current_year_pillar_minus_heavenly_sin,0.000471725
63,current_month_pillar_earthly,0.000452639
15,current_wuxi_month,0.000449194
137,cs_base_hour_current_month,0.000448964
9,current_month_pillar,0.000442232
80,current_month_pillar_minus_heavenly,0.000422398
7,current_day_pillar_minus,0.000413445
145,cs_base_day_current_month_minus,0.000411309
149,cs_base_hour_minus_current_month,0.000409023
84,current_month_pillar_minus_earthly_sin,0.000327601
29,quarter,0.000320163
169,cs_base_month_minus_current_month_minus,0.000304046
161,cs_base_year_current_month,0.000289065
62,current_month_pillar_heavenly,0.000278599
151,cs_base_hour_minus_current_month_minus,0.000271941
3,uuid_x,0.000234892
157,cs_base_month_current_month_minus,0.000231657
81,current_month_pillar_minus_earthly,0.000223275
67,current_month_pillar_earthly_cos,0.000209167
49,current_day_pillar_earthly_cos,0.000205418
172,uuid_y,0.000198117
54,current_day_pillar_minus_earthly_sin,0.000186615
55,current_day_pillar_minus_earthly_cos,0.000176062
168,cs_base_month_minus_current_year,0.000175901
64,current_month_pillar_heavenly_sin,0.000170467
48,current_day_pillar_earthly_sin,0.000163581
159,cs_base_year_current_day,0.000160663
51,current_day_pillar_minus_earthly,0.000154231
82,current_month_pillar_minus_heavenly_sin,0.000150058
147,cs_base_hour_minus_current_day,0.000142731
6,current_day_pillar,0.000137816
14,current_wuxi_day,0.000135576
45,current_day_pillar_earthly,0.000134793
141,cs_base_day_current_day,0.000128759
150,cs_base_hour_minus_current_year,0.000128113
47,current_day_pillar_heavenly_cos,0.000124326
73,current_year_pillar_earthly_cos,0.000118041
166,cs_base_month_minus_current_hour_minus,0.000113675
135,cs_base_hour_current_day,0.000111592
53,current_day_pillar_minus_heavenly_cos,0.000103288
142,cs_base_day_current_hour_minus,0.000100909
28,dayofweek,9.82571e-05
153,cs_base_month_current_day,9.6281e-05
165,cs_base_month_minus_current_day,9.33456e-05
50,current_day_pillar_minus_heavenly,8.36562e-05
13,current_wuxi_hour,7.49979e-05
46,current_day_pillar_heavenly_sin,6.99226e-05
52,current_day_pillar_minus_heavenly_sin,6.16958e-05
8,current_hour_pillar_minus,5.63629e-05
44,current_day_pillar_heavenly,5.18457e-05
38,current_hour_pillar_heavenly,4.06122e-05
41,current_hour_pillar_heavenly_cos,3.84072e-05
40,current_hour_pillar_heavenly_sin,3.76831e-05
58,current_hour_pillar_minus_heavenly_sin,3.36706e-05
59,current_hour_pillar_minus_heavenly_cos,3.18474e-05
56,current_hour_pillar_minus_heavenly,3.11652e-05
5,current_hour_pillar,3.04097e-05
60,current_hour_pillar_minus_earthly_sin,2.70323e-05
33,is_quarter_end,2.40415e-05
72,current_year_pillar_earthly_sin,2.32826e-05
79,current_year_pillar_minus_earthly_cos,2.23662e-05
148,cs_base_hour_minus_current_hour_minus,1.80287e-05
57,current_hour_pillar_minus_earthly,1.18759e-05
31,is_month_end,1.1039e-05
136,cs_base_hour_current_hour_minus,7.73424e-06
154,cs_base_month_current_hour_minus,6.44849e-06
160,cs_base_year_current_hour_minus,6.01032e-06
30,is_month_start,1.63761e-06
35,is_year_end,1.29849e-08
4,last_modified_date_x,0
22,base_hour_pillar_minus,0
17,base_year_pillar,0
21,base_month_pillar_minus,0
20,base_hour_pillar,0
19,base_day_pillar,0
18,base_month_pillar,0
24,base_day_pillar_minus,0
27,hour,0
1,stock_code_x,0
2,ric_code_x,0
42,current_hour_pillar_earthly_sin,0
43,current_hour_pillar_earthly_cos,0
39,current_hour_pillar_earthly,0
34,is_year_start,0
32,is_quarter_start,0
23,base_year_pillar_minus,0
109,base_hour_pillar_earthly_cos,0
102,base_day_pillar_earthly_sin,0
101,base_day_pillar_heavenly_cos,0
108,base_hour_pillar_earthly_sin,0
107,base_hour_pillar_heavenly_cos,0
106,base_hour_pillar_heavenly_sin,0
105,base_hour_pillar_earthly,0
104,base_hour_pillar_heavenly,0
103,base_day_pillar_earthly_cos,0
94,base_month_pillar_heavenly_sin,0
93,base_month_pillar_earthly,0
92,base_month_pillar_heavenly,0
91,base_year_pillar_earthly_cos,0
90,base_year_pillar_earthly_sin,0
89,base_year_pillar_heavenly_cos,0
88,base_year_pillar_heavenly_sin,0
87,base_year_pillar_earthly,0
86,base_year_pillar_heavenly,0
61,current_hour_pillar_minus_earthly_cos,0
100,base_day_pillar_heavenly_sin,0
99,base_day_pillar_earthly,0
98,base_day_pillar_heavenly,0
97,base_month_pillar_earthly_cos,0
96,base_month_pillar_earthly_sin,0
95,base_month_pillar_heavenly_cos,0
110,base_month_pillar_minus_heavenly,0
140,cs_base_day_current_hour,0
134,cs_base_hour_current_hour,0
128,base_day_pillar_minus_heavenly,0
129,base_day_pillar_minus_earthly,0
130,base_day_pillar_minus_heavenly_sin,0
131,base_day_pillar_minus_heavenly_cos,0
132,base_day_pillar_minus_earthly_sin,0
133,base_day_pillar_minus_earthly_cos,0
127,base_year_pillar_minus_earthly_cos,0
126,base_year_pillar_minus_earthly_sin,0
120,base_hour_pillar_minus_earthly_sin,0
121,base_hour_pillar_minus_earthly_cos,0
122,base_year_pillar_minus_heavenly,0
123,base_year_pillar_minus_earthly,0
124,base_year_pillar_minus_heavenly_sin,0
125,base_year_pillar_minus_heavenly_cos,0
117,base_hour_pillar_minus_earthly,0
116,base_hour_pillar_minus_heavenly,0
115,base_month_pillar_minus_earthly_cos,0
114,base_month_pillar_minus_earthly_sin,0
113,base_month_pillar_minus_heavenly_cos,0
112,base_month_pillar_minus_heavenly_sin,0
119,base_hour_pillar_minus_heavenly_cos,0
118,base_hour_pillar_minus_heavenly_sin,0
111,base_month_pillar_minus_earthly,0
146,cs_base_hour_minus_current_hour,0
152,cs_base_month_current_hour,0
158,cs_base_year_current_hour,0
164,cs_base_month_minus_current_hour,0
170,stock_code_y,0
171,ric_code_y,0
173,last_modified_date_y,0
